id,vehicle_identifier,longitude,latitude,date_time
18675566,YIFR2,-15.3883905,27.9452667,2024-10-29 10:54:55
18675567,CYEL8,-15.4156284,28.1419773,2024-10-29 10:54:55
18675682,EAFP7,-15.4130945,28.152729,2024-10-29 10:55:51
18675683,QLJD0,-15.4182148,28.1475849,2024-10-29 10:55:55
18675684,YIFR2,-15.3877764,27.9466248,2024-10-29 10:55:55
18675685,CYEL8,-15.4156284,28.1419773,2024-10-29 10:55:55
18675800,EAFP7,-15.4131203,28.1527557,2024-10-29 10:56:51
18675801,QLJD0,-15.4204931,28.1481724,2024-10-29 10:56:55
18675802,YIFR2,-15.3877764,27.9466248,2024-10-29 10:56:55
18675803,CYEL8,-15.4159107,28.1413879,2024-10-29 10:56:55
18675918,EAFP7,-15.4131203,28.1527557,2024-10-29 10:57:51
18675919,QLJD0,-15.4238205,28.148428,2024-10-29 10:57:54
18675920,YIFR2,-15.3872643,27.9519997,2024-10-29 10:57:54
18675921,CYEL8,-15.4161663,28.1390591,2024-10-29 10:57:54
18676036,EAFP7,-15.4131203,28.1527557,2024-10-29 10:58:51
18676037,QLJD0,-15.4295807,28.143795,2024-10-29 10:58:55
18676038,YIFR2,-15.3872643,27.9519997,2024-10-29 10:58:55
18676039,CYEL8,-15.4161663,28.1390591,2024-10-29 10:58:55
18676154,EAFP7,-15.4131203,28.1527557,2024-10-29 10:59:51
18676155,QLJD0,-15.4289665,28.1275654,2024-10-29 10:59:56
18676156,YIFR2,-15.3886719,27.9599361,2024-10-29 10:59:55
18676157,CYEL8,-15.4164476,28.1378307,2024-10-29 10:59:55
18676272,EAFP7,-15.4131203,28.1527557,2024-10-29 11:00:51
18676273,QLJD0,-15.4289665,28.1275654,2024-10-29 11:00:55
18676274,YIFR2,-15.389184,27.9619331,2024-10-29 11:00:55
18676275,CYEL8,-15.4164476,28.1378307,2024-10-29 11:00:55
18676390,EAFP7,-15.4131203,28.1527557,2024-10-29 11:01:51
18676391,QLJD0,-15.4176769,28.114151,2024-10-29 11:01:55
